SiteName,State,Address,City,Acres,DNI,EstPVCap
FORMER UNOCAL BULK PLANT #0138,WA,16120 Fork Teanaway Rd N,CLE ELUM,,4.73,
FORMER SHELL ISLAND MARINE & SPORTS,WA,16120 Fork Teanaway Rd N,CLE ELUM,,4.73,
ISLAND COUNTY MENTLA HEALTH,WA,16120 Fork Teanaway Rd N,CLE ELUM,,4.73,
TERMINAL 106 WEST,WA,Unknown,UNKNOWN,,3.41,
NORTH BAY AT TERMINAL 91,WA,Unknown,UNKNOWN,,3.41,
PIER 34,WA,Unknown,UNKNOWN,,3.41,
MITCHELL AVENUE PHASE II,WA,920 Mitchell Avenue,PORT ORCHARD,1.0,3.21,
ROBINSON PROPERTY,WA,1118 Charleston Beach Road,BREMERTON,0.0,3.21,
FORMER BANK PROPERTY,WA,1116 Charleston Beach Road,BREMERTON,0.0,3.21,
NGUYEN PROPERTY,WA,1215 Charleston Beach Road,BREMERTON,0.0,3.21,
BODINE PROPERTY,WA,1227 Charleston Beach Road,BREMERTON,0.0,3.21,
FISCAL DYNAMICS PROPERTY,WA,1229 Charleston Beach Road,BREMERTON,0.0,3.21,
FORMER MORE PROPERTY,WA,1127 Charleston Beach Road,BREMERTON,0.0,3.21,
PRICE PROPERTY,WA,1550 Navy Yard Highway,BREMERTON,0.0,3.21,
NEAR 11.7 MILE OF E OF 468TH AVENUE SE,WA,near 11.7 mile of E of 468th Avenue SE,NORTH BEND,1.0,2.67,
22400 LAKE FRANCIS ROAD SE,WA,Near 22400 Lake Francis Road SE,MAPLE VALLEY,1.0,2.94,
29450 SE 371ST STREET,WA,29450 SE 371st Street,ENUMCLAW,1.0,2.97,
31000 SE 408TH STREET,WA,Near 31000 SE 408th Street,ENUMCLAW,1.0,2.92,
16500 OLD PETROVITSKY ROAD,WA,Near 16500 Old Petrovitsky Road,RENTON,1.0,3.21,
S. 200TH STREET AND 13TH AVENUE S.,WA,Near S. 200th Street and 13th Avenue S.,SEA TAC,1.0,3.33,
WILLIAMS CREEK,WA,Near Williams Creek,RAVENSDALE,1.0,2.94,
12528 NE 129TH COURT,WA,12528 NE 129th Court,KIRKLAND,1.0,3.41,
1555 UNION AVENUE NE,WA,1555 Union Avenue NE,RENTON,1.0,3.31,
402 MOUNTAIN VIEW DRIVE,WA,402 Mountain View Drive,AUBURN,1.0,3.15,
4400 PRESTON-FALL CITY ROAD SE,WA,Near 4400 Preston-Fall City Road SE,FALL CITY,1.0,2.92,
23600 MUIRWOOD WAY NE,WA,Near 23600 Muirwood Way NE,REDMOND,1.0,3.09,
19224 SE 164TH STREET,WA,19224 SE 164th Street,RENTON,1.0,2.98,
19901 CEDAR FALLS ROAD SE,WA,19901 Cedar Falls Road SE,NORTH BEND,1.0,2.67,
26432 SE 427TH STREET,WA,26432 SE 427th Street,ENUMCLAW,1.0,2.97,
DINGFORD CREEK TRAIL ROAD,WA,Near Dingford Creek Trail Road,NORTH BEND,1.0,2.67,
9730 CARNATION DUVALL ROAD,WA,9730 Carnation Duvall Road,CARNATION,1.0,2.92,
PENMAN VEHICLE,WA,unknown,UNKNOWN,,3.41,
WALKER VEHICLE,WA,unknown,UNKNOWN,,3.41,
FIRE ROAD,WA,Near Fire Road 9020,NORTH BEND,1.0,3.12,
15800 SE AUBURN BLACK DIAMOND ROAD,WA,Near 15800 SE Auburn Black Diamond Road,AUBURN,1.0,2.95,
"1983 FORD ECONOLINE VAN, SILVER",WA,"1983 Ford Econoline Van, silver",VEHICLE,,4.73,
34104 SE 207TH STREET,WA,34104 SE 207th Street,RAVENSDALE,1.0,2.86,
"1994 FREIGHTLINER SEMI-TRUCK, RED",WA,"1994 Freightliner semi-truck, red",VEHICLE,,3.04,
"1991 HONDA ACCORD, WHITE",WA,"1991 Honda Accord, white",VEHICLE,,4.73,
2006 DODGE PICKUP,WA,2006 Dodge pickup,VEHICLE,,4.73,
30665 KENT-BLACK DIAMOND ROAD SE,WA,30665 Kent-Black Diamond Road SE,AUBURN,1.0,3.0,
908 W MEEKER STREET,WA,908 W Meeker Street,KENT,1.0,3.15,
19515 PARADISE LAKE ROAD NE,WA,19515 Paradise Lake Road NE,WOODINVILLE,1.0,3.41,
"1984 BMW, BEIGE",WA,"1984 BMW, beige",VEHICLE,,4.7,
"22300 7TH AVENUE S, ROOM 114",WA,"22300 7th Avenue S, Room 114",DES MOINES,1.0,3.33,
19707 130TH AVENUE NE,WA,19707 130th Avenue NE,WOODINVILLE,1.0,3.41,
537 BURGER PLACE,WA,537 Burger Place,ENUMCLAW,1.0,2.95,
417 S 128TH STREET,WA,417 S 128th Street,BURIEN,1.0,3.33,
"1989 SUBARU, BLUE",WA,"1989 Subaru, blue",VEHICLE,,4.73,
"1989 FORD ECONOLINE VAN, BLUE",WA,"1989 Ford Econoline Van, blue",VEHICLE,,4.73,
"210 SW 155TH STREET, APT 302 & 303",WA,"210 SW 155th Street, Apt 302 & 303",BURIEN,1.0,3.33,
14043 24TH AVE S,WA,14043 24th Ave S,SEA TAC,1.0,3.33,
31901 160TH PLACE SE,WA,31901 160th Place SE,AUBURN,1.0,3.0,
1985 HONDA PRELUDE,WA,1985 Honda Prelude,VEHICLE,,4.73,
"11 YALE AVENUE N, ROOFTOP AND APT. 305",WA,"111 Yale Avenue N, rooftop and Apt. 305",SEATTLE,1.0,3.5,
24260 197TH AVENUE SE,WA,24260 197th Avenue SE,KENT,1.0,2.94,
"1966 FORD PICKUP, WHITE",WA,"1966 Ford pickup, white",VEHICLE,,4.73,
NEAR 30808 NE 165TH,WA,near 30808 NE 165th,DUVALL,1.0,2.91,
25422 29TH AVENUE S,WA,25422 29th Avenue S,KENT,1.0,3.15,
NEAR 27800 SE GREEN RIVER GORGE ROAD,WA,near 27800 SE Green River Gorge Road,ENUMCLAW,1.0,2.94,
SALVATION ARMY PROPERTY,WA,1111 South Union Avenue,TACOMA,0.0,3.33,
CRITTENDON PROPERTY,WA,2155 Martin Luther King Jr. Way,TACOMA,0.0,3.33,
FORMER NU WAY CLEANERS,WA,113 12th Avenue,SEATTLE,0.0,3.5,
CHRISTENSEN PROPERTY,WA,1117 Washington Avenue,ENUMCLAW,0.0,2.97,
ULTRA CUSTOM CARE,WA,18304 Bothell Way NE,BOTHELL,0.0,3.44,
SIMON AND SONS,WA,18107 Bothell Way NE,BOTHELL,0.0,3.44,
ARRA09 SEED CLAREMONT HOUSING,WA,3333 Rainier Avenue South,SEATTLE,1.0,3.51,
GUIBERSON PROPERTY,WA,3236 Wheaton Way,BREMERTON,1.0,3.21,
VALLEY PRODUCE,WA,3140 West State Route 16,BREMERTON,6.0,3.21,
COOPER FUEL,WA,3236 Wheaton Way,BREMERTON,0.0,3.21,
BJP LLC PROPERTY/BURT'S MANCHESTER GAS,WA,2375/2399 Colchester Drive East,MANCHESTER,0.0,3.24,
BETHEL TAVERN,WA,3840 Bethel Road SE,PORT ORCHARD,1.0,3.21,
BREMERTON 7TH AVENUE LOT 31 (PUGET DRY CLEANERS),WA,816 7th Avenue,BREMERTON,0.0,3.21,
BEATTER/TURNER/MILLER,WA,109-111 12th Avenue South,SEATTLE,1.0,3.5,
AMERICAN TOWER BUNKER,WA,1986 Lower Elwha Road,PORT ANGELES,87.0,3.2,
TRYON'S JUNK YARD,WA,Woodland Avenue and Makah Passage,NEAH BAY,10.0,2.8,
HAKE AST SITE,WA,Waadah Place and Bell Road,NEAH BAY,10.0,2.8,
INCHELIUM WOOD TREATMENT PLANT,WA,18 Blackbird Drive,INCHELIUM,45.0,4.68,7.5
TRIBAL FISH AND WILDLIFE DEPARTMENT,WA,68 Schoolhouse Loop Road,NESPELEM,10.0,4.78,
CHIEF JOSEPH ORCHARD,WA,2500 Columbia River Road,OKANOGAN,350.0,4.87,58.33
COLOMBIA LACE,WA,151 Jack Wells Road,BRIDGEPORT,120.0,4.55,20.0
EARL CROFOOT PROPERTY,WA,326 Monse Bridge Road,BREWSTER,1.0,4.91,
NESPELEM TRANSFER STATION,WA,Schoolhouse Loop Road,NESPELEM,3.0,4.78,
THE PINES CAFE,WA,12379 S. Hwy 21,KELLER,2.0,4.79,
IRON CREEK RELEASE PROPERTY,WA,Iron Creek Rd,KELLER,1.0,4.85,
SOUTH BEND TURNER SHELL STATION,WA,1208 West Robert Bush Drive,SOUTH BEND,,2.88,
UPTOWN RICHLAND SHOPPING CENTER,WA,1331 George Washington Way,RICHLAND,21.0,5.36,3.5
WEST OLYMPIA LANDFILL,WA,1305 SW Cooper Point Rd,OLYMPIA,12.0,3.11,
UNIVERSITY AUTO CENTER (FORMER),WA,East 7th at Pearl,ELLENSBURG,0.0,4.77,
SOUTH BEND TURNER SHELL STATION - 2 LOTS,WA,1208 W Robert Bush Drive,SOUTH BEND,0.0,2.88,
EDDON BOAT PARK,WA,3805 Harborview Drive,GIG HARBOR,3.0,3.31,
KING COUNTY,WA,near 17617 SE Jones Rd,RENTON,0.0,3.21,
CITY OF DES MOINES,WA,22307 Dock Ave,DES MOINES,0.0,3.33,
COAST REAL ESTATE SERVICES,WA,"739 Watson St. N, Apt 67",ENUMCLAW,0.0,2.92,
HANCOCK TIMBER RESOURCE GROUP,WA,near SE 440th St. and 292nd Ave SE,ENUMCLAW,0.0,2.98,
KING COUNTY PROPERTY SERVICES,WA,near 23800 SE Green Valley Rd,AUBURN,0.0,2.98,
CAROL MCCULLOUGH,WA,near 20633 148th Ave SE,KENT,0.0,3.21,
33300 NE 32ND ST,WA,33300 NE 32nd St,CARNATION,0.0,2.84,
TYROLIA FUNDING,WA,14018 184th Ave NE,WOODINVILLE,1.0,3.15,
4311 S. 321ST STREET,WA,4311 S. 321st Street,AUBURN,1.0,3.15,
19031 240TH AVE SE,WA,19031 240th AVE SE,MAPLE VALLEY,3.0,2.98,
26820 235TH AVE SE,WA,26820 235th Ave SE,MAPLE VALLEY,1.0,2.94,
2115 N 122ND ST,WA,2115 N 122nd St,SEATTLE,0.0,3.5,
CAMBRIDGE CEDAR GROVE,WA,174th St. SE and 204th Ave SE,MAPLE VALLEY,1.0,2.94,
MINERAL HILL LANDFARM,WA,Schoolhouse Loop Road,NESPELEM,1.0,4.81,
MT. TOLMAN SERVICE CENTER,WA,P.O. Box 188,KELLER,35.0,4.82,
MOSES MOUNTAIN COMMUNICATIONS SITE,WA,"T33N, R30E",OMAK,2.0,4.79,0.33
FORMER RESTAURANT,WA,116 West State Street,ABERDEEN,0.0,2.89,
ROCKY PIZZA AND COMMERCIAL OFFICES,WA,209 West Wishkah,ABERDEEN,0.0,2.89,
NORTHPORT FORMER MILL PROPERTY,WA,117 Park Street,NORTHPORT,7.0,4.38,
CITY CENTER SERVICE STATION,WA,123 & 124 West Heron,ABERDEEN,0.0,2.89,
AUTOBODY SHOP AND WOOD PRODUCT STORAGE,WA,106 West State Street,ABERDEEN,0.0,2.89,
AUTOMOTIVE REPAIR AND USED CAR LOT,WA,219 West Wishkah,ABERDEEN,0.0,2.89,
FORMER RECYCLING CENTER (2 PARCELS),WA,102 & 104 West State Street,ABERDEEN,0.0,2.89,
AUTOMOBILE PARKING LOT,WA,211 West Wishkah,ABERDEEN,0.0,2.89,
VALASKE - AKA DICKEY BIRDS,WA,"271020 Hwy 101, 43 Sophus Rd.",SEQUIM,4.0,3.12,
GADAMUS (LOG CABIN),WA,3830 West Sequim Bay Rd.,SEQUIM,5.0,3.12,
MEYER,WA,183 Sophus Road,SEQUIM,2.0,3.12,
CRAFT,WA,182 Marina's Way,SEQUIM,30.0,3.27,
DUNGENESS GOLF AND COUNTRY CLUB,WA,1965 Woodcock Road,SEQUIM,121.0,3.27,
PAC FIVE,WA,33 Knapp Rd.,SEQUIM,45.0,3.23,
FORMER NU WAY CLEANERS II,WA,115 12th Avenue,SEATTLE,0.0,3.5,
FORMER NU WAY CLEANERS III,WA,117 12th Avenue,SEATTLE,0.0,3.5,
ALLEN AME CHURCH,WA,1124 South J Street,TACOMA,0.0,3.33,
HERITAGE BANK,WA,8801 South Tacoma Way,LAKEWOOD,1.0,3.16,
TONE SITE,WA,1501 South Tacoma Way,TACOMA,0.0,3.33,
SWINOMISH TRIBAL ECONOMIC ZONE AREA 2,WA,N48.45441 W122.51611,LA CONNER,280.0,3.2,
MCGLINN ISLAND AND CAUSEWAY,WA,N48.38179 W122.50589,LA CONNER,50.0,3.2,
FRONT ST. SITE,WA,Front St. Swinomish Village,LA CONNER,1.0,3.2,
SWINOMISH TRIBAL ECONOMIC ZONE AREA 1,WA,N48.45785 W122.51633,ANACORTES,203.0,3.28,
EDDON BOATYARD PARK,WA,3805 Harborview Drive,GIG HARBOR,1.0,3.31,
12TH AND JEFFERSON,WA,1200 - 1206 East Jefferson Street,SEATTLE,0.0,3.5,
BOTHELL LANDING,WA,18120 Bothell Way NE,BOTHELL,6.0,3.44,
PEROVICH,WA,6525 South Ellis Street,SEATTLE,0.0,3.41,
BOTHELL CROSSROADS,WA,18200 - 18206 Bothell Way NE,BOTHELL,1.0,3.44,
JOHNNY GEORGE MOUNTAIN COMMUNICATIONS FACILITY,WA,"17 Miles Southeast of Keller, WA",KELLER,2.0,4.75,
KELLER PARK UST,WA,"2.1 miles South of Keller, 85 feet West of Highway 21",KELLER,0.0,4.91,
ROUND LAKE UST,WA,"Northeast side of Round Lake, .1 miles South of Bridge Creek Road",KELLER,0.0,4.91,
RAINIER COURT PHASE III,WA,3605 34th Ave S,SEATTLE,1.0,3.51,
CROWN PACIFIC/INTERFOR SITE,WA,60 State Avenue,MARYSVILLE,10.0,3.1,
HAPPY DRAGON: AKA ASAIN CUISINE AND 6TH & ALDER,WA,3118 6th Avenue,TACOMA,0.0,3.33,
8328 & 8330 SOUTH TACOMA WAY,WA,8328 & 8330 South Tacoma Way,LAKEWOOD,3.0,3.16,
2105 TACOMA AVENUE SOUTH,WA,2105 Tacoma Avenue South,TACOMA,0.0,3.33,
ARRA-11: KHA MITCHELL AVENUE PHASE 2,WA,980 Mitchell Avenue,PORT ORCHARD,1.0,3.21,
ARRA10 SHA HIGHPOINT HOPE VI PROJECT,WA,6058 35th Avenue,SEATTLE,0.0,3.41,
HISTORIC RICKARD LOGGING CAMP,WA,21 Brush Creek Road,KELLER,34.0,4.79,
ROBY'S SERVICES OF BUENA,WA,Main Street and Burr Street,BUENA,0.0,5.29,
GOLD NUGGET MARKET,WA,1041 Buena Road,ZILLAH BUENA,0.0,5.29,
FRED DILL'S PROPERTY,WA,701 Buena Loop Road,BUENA,0.0,5.29,
FORMER CUSTOM PLYWOOD,WA,3311 V Place,ANACORTES,41.0,3.34,
SOPHUS ROAD AND MEYER,WA,20 Sophus Road,SEQUIM,18.0,3.12,
CAD,WA,2161 Woodcock Road,SEQUIM,15.0,3.27,
BLACKSTONE,WA,1980-2098 West Hendrickson Road,SEQUIM,0.0,3.27,
MEYER II,WA,294 Woods Road,SEQUIM,4.0,3.12,
BONNY,WA,1512 Old Blyn Hwy,SEQUIM,1.0,3.23,
MEYER,WA,183 Sophus Road,SEQUIM,2.0,3.12,
CEDARS AT DUNGENESS GOLF COURSE,WA,1965 Woodcock Road,SEQUIM,137.0,3.27,
BLYN BASIN I,WA,192 Corriea Road,SEQUIM,16.0,3.12,
SOPHUS ROAD,WA,180 Sophus Road,SEQUIM,16.0,3.12,
7TH AND JACKSON,WA,710 South Jackson Street,SEATTLE,1.0,3.41,
SPRING VALLEY UST SITE,WA,37000 Pacific Highway South,FEDERAL WAY,2.0,3.23,
RAINCHECK PLUME,WA,18304 Bothell Way NE,BOTHELL,0.0,3.44,
SEVENTH AVENUE SERVICE,WA,701 South Jackson Street,SEATTLE,0.0,3.41,
LOWER COUNTY SHOP,WA,505 W. 14th Ave.,ELLENSBURG,3.0,4.85,0.48
CASCADE PALLET,WA,109 N. Water St.,ELLENSBURG,1.0,4.77,
MIDSTATE CO-OP,WA,705 W. 5th Ave.,ELLENSBURG,1.0,4.77,
EL MANANTIAL MEXICAN RESTAURANT,WA,310 S. Main Street,ELLENSBURG,0.0,4.77,
1003 CANYON ROAD,WA,1003 Canyon Road,ELLENSBURG,2.0,4.77,
HINMAN RANCH,WA,115 Park City Loop,NESPELEM,112.0,4.81,18.67
SWINOMISH LIME STORAGE SITE_UPLANDS,WA,12939 Casino Dr,ANACORTES,4.0,3.28,
TERRY AUTO SALVAGE YARD,WA,1124 N Pacific Ave,KELSO,1.0,3.17,
PERIWINKLE PARK FORMER WESTPARK LANDFILL,WA,110 Russell Road,BREMERTON,6.0,3.21,
MOBILE HOME #2,WA,Lot 101-T12212,MCGINNIS LAKE,0.0,4.94,
LOT #15,WA,Moccasin Flat Hud Road,OMAK,0.0,4.79,
OMAK COMMUNITY CENTER MULTIPURPOSE BLDG,WA,68 Benton Street,OMAK,1.0,4.69,
LOT #3,WA,Mocassin Flat Hud Road Omak Trailer Park,OMAK,0.0,4.79,
BELVEDERE MOBILE HOME,WA,Belvedere Road Highway 155,COULEE DAM,0.0,4.94,
LOT # 2,WA,Moccasin Flat Hud Road,OMAK,0.0,4.79,
LOT B-13,WA,Grandview Village,ELMER CITY,0.0,4.94,
LOT #18,WA,Moccasin Flat Hud Road,OMAK,0.0,4.79,
CASHMERE MILL SITE,WA,5455 Sunset Highway,CASHMERE,31.0,4.88,
GEDDES MARINA,WA,1326 1st Street,MARYSVILLE,5.0,3.1,
VANCOUVER WATER STATION #4 CONTAMINATION,WA,5TH + BLANDFORD ST,VANCOUVER,0.0,3.38,
"FRONTIER HARD CHROME, INC.",WA,113 Y ST,VANCOUVER,0.0,3.38,
HAMILTON ISLAND LANDFILL (USA/COE),WA,BONNEVILLE LOCK & DAM,NORTH BONNEVILLE,250.0,3.52,41.67
VANCOUVER WATER STATION #1 CONTAMINATION,WA,E. RESERVE AND N.E. FOURTH PLAIN BLVD.,VANCOUVER,20.0,3.38,
ALCOA (VANCOUVER SMELTER),WA,5509 LOWER RIVER RD,VANCOUVER,215.0,3.34,
BONNEVILLE POWER ADMINISTRATION ROSS COMPLEX (USDOE),WA,5411 NE HWY 99,VANCOUVER,250.0,3.38,
BOOMSNUB/AIRCO,WA,7608 NORTHEAST 47TH STREET,VANCOUVER,12.0,3.38,
TOFTDAHL DRUMS,WA,22033 NE 189 ST,BRUSH PRAIRIE,15.0,3.25,
STUBBLEFIELD SALVAGE,WA,980 NE MYRA ROAD,WALLA WALLA,,4.84,
PASCO SANITARY LANDFILL,WA,KAHLOTUS RD & HWY 12,PASCO,250.0,5.3,41.67
HANFORD 1100-AREA (USDOE),WA,1100 AREA,BENTON COUNTY,358400.0,5.52,59733.33
HANFORD 300-AREA (USDOE),WA,300 AREA,BENTON COUNTY,358400.0,5.52,59733.33
HANFORD 200-AREA (USDOE),WA,200 AREA,BENTON COUNTY,358400.0,5.55,59733.33
FMC CORP. (YAKIMA),WA,4 W WASHINGTON AV,YAKIMA,4.0,5.28,0.67
YAKIMA PLATING CO.,WA,1804 S 3RD AV,YAKIMA,1.0,5.32,
PESTICIDE LAB (YAKIMA),WA,3706 W NOB HILL RD,YAKIMA,10.0,5.32,1.67
HAMILTON/LABREE ROADS GW CONTAMINATION,WA,HAMILTON & LABREE ROADS,CHEHALIS,14.0,3.15,
AMERICAN CROSSARM & CONDUIT CO.,WA,99 CHEHALIS AV SW,CHEHALIS,14.0,3.15,
CENTRALIA MUNICIPAL LANDFILL,WA,1313 S TOWER,CENTRALIA,87.0,3.15,
HANFORD 100-AREA (USDOE),WA,100 AREA,BENTON COUNTY,358400.0,5.4,59733.33
PALERMO WELL FIELD GROUND WATER CONTAMINATION,WA,PALERMO AVENUE & O STREET,TUMWATER,,3.11,
HIDDEN VALLEY LANDFILL (THUN FIELD),WA,THUN FLD 17975 MERIDIAN S,PIERCE COUNTY,90.0,2.96,
FORT LEWIS LOGISTICS CENTER,WA,"T19N R2E SECS 21,22,26,27",TILLICUM,86000.0,3.33,
FORT LEWIS (LANDFILL NO. 5),WA,ATTN: AFZH-FEQ,TACOMA,60.0,3.17,
AMERICAN LAKE GARDENS/MCCHORD AFB,WA,555 BARNES BLVD.,TACOMA,4616.0,3.18,
MCCHORD AIR FORCE BASE (WASH RACK/TREATMENT AREA),WA,MERIDIAN ST - 62ABG/DEEV,TACOMA,4600.0,3.18,
LAKEWOOD,WA,"E. OF NEW YORK AVE, S. OF PACIFIC HWY S.",LAKEWOOD,7.0,3.18,
MOSES LAKE WELLFIELD CONTAMINATION,WA,GRANT CO. AIRPORT,MOSES LAKE,7680.0,5.35,1280.0
"COMMENCEMENT BAY, SOUTH TACOMA CHANNEL",WA,SOUTH TACOMA CHANNEL OF COMMEN,TACOMA,504.0,3.33,
"COMMENCEMENT BAY, NEAR SHORE/TIDE FLATS",WA,ADJ TO RUSTON WAY & TIDEFLATS IND. AREA,TACOMA,7680.0,3.33,
MIDWAY LANDFILL,WA,24800 PACIFIC HWY S.,KENT,60.0,3.15,
SEATTLE MUNICIPAL LANDFILL (KENT HIGHLANDS),WA,NE OF MILITARY RD AND KENT DES MOINES RD,KENT,100.0,3.15,
"WESTERN PROCESSING CO., INC.",WA,7215 S 196TH ST,KENT,14.0,3.33,
QUEEN CITY FARMS,WA,S 1/2 SEC 28-MAPLE VALLEY QUAD,MAPLE VALLEY,315.0,2.98,
PACIFIC CAR & FOUNDRY CO.,WA,1400 N 4TH ST,RENTON,82.0,3.33,
QUENDALL TERMINAL,WA,4503 LK WASHINGTON BLVD N,RENTON,23.0,3.51,3.83
LOWER DUWAMISH WATERWAY,WA,RK 2.5 TO RK 10.8,SEATTLE,19816.0,3.51,3302.58
PUGET SOUND NAVAL SHIPYARD COMPLEX,WA,,BREMERTON,1350.0,3.21,
OLD NAVY DUMP/MANCHESTER LABORATORY (USEPA/NOAA),WA,,MANCHESTER,40.0,3.24,
BREMERTON GASWORKS,WA,1725 PENNSYLVANIA AVENUE,BREMERTON,,3.21,
MICA LANDFILL,WA,"T24N R44E S11,14",MICA,160.0,4.66,26.67
HARBOR ISLAND (LEAD),WA,MOUTH OF DUWAMISH RIVER,SEATTLE,723.0,3.41,
PACIFIC SOUND RESOURCES,WA,,SEATTLE,225.0,3.41,
LOCKHEED WEST SEATTLE,WA,3443 W. MARGINAL WAY,SEATTLE,25.0,3.41,
JACKSON PARK HOUSING COMPLEX (USNAVY),WA,,KITSAP COUNTY,630.0,3.21,
WYCKOFF CO./EAGLE HARBOR,WA,5350 CREOSOTE PL NE,BAINBRIDGE ISLAND,78.0,3.31,
FAIRCHILD AIR FORCE BASE (4 WASTE AREAS),WA,US HIGHWAY 2 W OF SPOKANE,SPOKANE,4332.0,4.8,722.0
GREENACRES LANDFILL,WA,LIBERTY LK,SPOKANE COUNTY,58.0,4.7,9.67
GENERAL ELECTRIC CO. (SPOKANE APPARATUS SERVICE SHOP),WA,E 4323 MISSION AV,SPOKANE,7.0,4.8,1.13
SPOKANE JUNKYARD/ASSOCIATED PROPERTIES,WA,N 3322 COOK ST.,SPOKANE,16.0,4.8,2.67
OLD INLAND PIT,WA,N SULLIVAN RD & KIERNAN RD,SPOKANE,10.0,4.7,1.67
NAVAL UNDERSEA WARFARE ENGINEERING STATION (4 WASTE AREAS),WA,"HWY 308, E END",KEYPORT,340.0,3.24,
BANGOR NAVAL SUBMARINE BASE,WA,"CLEAR CREEK ROAD, BLDG. 110",SILVERDALE,7700.0,3.29,
NORTHSIDE LANDFILL,WA,W 5502 NINEMILE RD,SPOKANE,345.0,4.78,57.5
NORTH MARKET STREET,WA,E 3225 LINCOLN RD,SPOKANE,42.0,4.73,7.0
KAISER ALUMINUM (MEAD WORKS),WA,HAWTHORNE RD-1.2 M FROM DIV.RD,MEAD,30.0,4.73,5.0
BANGOR ORDNANCE DISPOSAL (USNAVY),WA,"CLEAR CREEK ROAD,BLDG 1100",BREMERTON,7000.0,3.24,
COLBERT LANDFILL,WA,ELK-CHATTEROY RD,SPOKANE,40.0,4.71,6.67
MIDNITE MINE,WA,35 MILES NORTHWEST OF SPOKANE,WELLPINIT,481.0,4.95,80.15
TULALIP LANDFILL,WA,TULALIP INDIAN RESERVATION,MARYSVILLE,307.0,3.1,
PORT HADLOCK DETACHMENT (USNAVY),WA,,INDIAN ISLAND,2700.0,3.24,
USDOI BLM CLEVELAND MINE & MILL SITE,WA,T30N R38E S9,HUNTERS,,4.87,
BOEING COMPANY TULALIP TEST SITE,WA,TULALIP INDIAN RESERVATION,MARYSVILLE,,2.98,
"NAVAL AIR STATION, WHIDBEY ISLAND (SEAPLANE BASE)",WA,1 MI NE OF E PIONEER WAY & TORPEDO INTSC,WHIDBEY ISLAND,7000.0,3.28,
"NAVAL AIR STATION, WHIDBEY ISLAND (AULT FIELD)",WA,UNSPECIFIED,WHIDBEY ISLAND,7000.0,3.4,
ALDER MILL,WA,"T33N R22E S17,18",TWISP,3.0,4.46,
MAKAH RESERVATION WARMHOUSE BEACH DUMP,WA,UNNAMED ROAD LEADING TO KOITLAH POINT,NEAH BAY,,2.97,
HECLA KNOB HILL MINE,WA,KNOB HILL COUNTY ROAD 3 MI NW OF CY,REPUBLIC,,4.46,
SOUTH PENN MINE,WA,,REPUBLIC,,4.46,
SILVER MOUNTAIN MINE,WA,"SEC 34, T38N, R26E, WM",LOOMIS,5.0,4.13,
OESER CO.,WA,730 MARINE DRIVE,BELLINGHAM,24.0,3.3,
"SIERRA ZINC MINE/MILL, A.K.A. BLUE RIDGE MINE/MILL",WA,"T38N R41E SEC 19, 20, 29, 30,",NORTHPORT,,4.37,
BLUE BUCKET MINE,WA,T39N R43E S32 N1/2,METALINE,,4.33,
JOSEPHINE MILL # 1 AKA OLD JOSEPHINE MILL,WA,T39N R43E SEC16,METALINE FALLS,,4.33,
JOSEPHINE MINE,WA,T39N R43E S16 SE1/4 N1/2,METALIINE FALLS,,4.33,
USDOI BLM JOSEPHINE MILL #2 AKA NEW JOSEPHINE MILL,WA,"1 MI NW OF PEND OREILLE VILLAGE,",METALINE FALLS,,4.33,
NORTHWEST TRANSFORMER,WA,6882 MISSION ST,EVERSON,2.0,3.22,
NORTHWEST TRANSFORMER (SOUTH HARKNESS STREET),WA,107 S HARKNESS,EVERSON,0.0,3.25,
ANDERSON-CALHOUN MINE/MILL,WA,1 MI N OF LEADPOINT,LEADPOINT,,4.39,
CLEVELAND MINE AND MILL,WA,"T30N R38E SEC9, 7 MI NE OF CY",HUNTERS,,4.72,
DEEP CREEK MINE,WA,T39N R40E S26 NE1/4 N1/2,NORTHPORT,,4.38,
EVERETT SMELTER,WA,EAST MARINE VIEW DRIVE BTWN 5TH & BUTLER,EVERETT,,3.2,
GRANDVIEW MINE,WA,"T39N R43E S14,15,22,30",METALINE FALLS,,4.33,
LAST CHANCE MINE AND MILL,WA,6 MI SE OF NORTHPORT,NORTHPORT,,4.38,
USDA FS COLVILLE NF: ORIOLE MINE,WA,T39N R43E SEC19 SE CORNER,METALINE,,4.33,
"VERMICULITE NW, INC N",WA,1318 MAPLE ST,SPOKANE,,4.78,
ASARCO INC,WA,RUSTON WAY & N 51ST ST,TACOMA,,3.28,
LAKE WASHINGTON SHIP CHANNEL,WA,,SEATTLE,,3.5,
DAWN MINING COMPANY MILL PONDS,WA,HWY 231 CITY CENTER,FORD,,4.86,
USDA FS WENATCHEE NF: HOLDEN MINE,WA,T31N R17E SEC 7 WM,HOLDEN,248.0,3.65,
ALDER MINE,WA,3 MI SE OF TWISP ON ALDER CREEK,TWISP,,4.42,
PEND OREILLE MINE & MILL,WA,"T39N R43E S10-11,14-15",METALINE FALLS,,4.33,
LE ROI CO SMELTER,WA,HWY 25 N OF CY,NORTHPORT,,4.38,
