month,demand_MWh
1,8760366.956628244
2,8110618.7458750615
3,8365304.740076999
4,7273809.49301584
5,6891751.0148347495
6,6708034.107950878
7,7353218.580147055
8,7365870.145474587
9,6406545.798501904
10,7024893.295907807
11,7953764.534074657
12,8506068.76651221
